Time,Position_N,Position_E,Position_D,Flight path angle,Heading angle,Total angle of attack,Bank angle,Ground speed,Lateral acceleration (command),Lateral acceleration (response),Bank angle (command),Bank angle (response),Drag force,Thrust force,Gravitational acceleration,Yaw,Pitch,Roll,Elevation,Azimuth,check
0.0,55.00501146385259,0.5369130635828585,-1868.460740635546,-0.10316240840580425,1.908445804072765,0.12633465121895857,0.15170153338746795,254.5879282212916,2.6386975878375045,-0.0016173915761592975,-2.29837247918924,-0.16320855539707413,96549.49990259246,283359.95931207255,9.748550226124504,1.9839454725107528,-0.42152238135854164,0.4437440435846189,11.687808066365648,-1.7994368715458313,True
0.01,-110.28312625960469,1.059735893357407,-1818.9050483126798,-0.029842784333814282,2.040805832435672,-0.13926743807821546,-0.2039873025161519,239.53751489651364,2.5417559876891946,0.10563027153363225,-3.190365216343061,-0.08121366897380568,95040.55541106366,290421.9422330907,10.218010677335482,1.9824876669042946,-0.09603182671485151,-0.4402027658394633,11.31182717496158,-2.0731897272749,True
0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
0.03,94.62803117451301,0.6958270316275297,-1851.675472521614,-0.2742523841135186,1.8993854267545458,-0.06832860653182107,-0.27911335544036814,253.2036074497835,2.6129099350114577,0.04999846276663602,-3.029677007412472,-0.269806935720097,94733.13515683734,283113.6076693961,10.121948928646564,1.9922228597936695,-0.4287901101479561,0.3217788020745512,10.764014990014804,-2.108597031645142,True
0.04,85.98934515817746,1.7690411517263338,-1951.048143474742,-0.016098997053388894,2.051500727935032,0.4964951262528394,-0.1839740574761563,256.27953651436036,2.5149600166862855,-0.0450271810818937,-3.1483813210670917,0.07717473481678747,90329.76347135859,274790.6792221387,9.973912855385306,1.978866970988177,-0.9225930081809786,-0.1689853977611004,10.80596435320616,-1.8233421902780964,True
0.05,-8.450086242763817,1.0888678978762631,-1870.825517653205,0.1340639068075359,2.0416221469578035,-0.19683776576484668,-0.32333796736929143,253.05123953347325,2.582318519384843,-0.0018574420241638523,-3.299774535088979,-0.2545425231664732,96934.505218023,280461.12773738353,9.46249608425525,2.0330339126409984,-0.13428945123322986,-0.6127304287856244,12.014642320150537,-2.0570168124472357,True
0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
0.07,107.6133074455691,2.1703992929859623,-1826.6724162787825,-0.09928353119924968,2.0651530457615994,0.0410413394188795,-0.5200547560925948,251.29093497620053,2.452702551224398,0.024303357948008503,-2.634246319639037,-0.4175931643275314,97709.03773253907,286726.37962825573,9.760878339426522,2.0285754283118127,0.153582397272667,-0.7728792486515849,10.653006551218562,-1.9829998552583217,True
0.08,330.1277941966228,0.28269312209249836,-1864.0259412110245,-0.21934180886331606,2.0311342881442007,0.6772372641167884,-0.8677493825015742,258.3768810139704,2.453165378836028,0.08163201564311447,-3.1295167842969076,-0.6897187933559976,95349.66513269594,271627.8510281224,10.002767826703467,1.9636570628772116,0.686379476846427,-1.1911167366577131,12.004601160496744,-2.1425204668098816,True
0.09,128.60377882609197,1.0401514639813394,-1887.483170851195,-0.09020837645060553,2.0067669922887443,0.742769552305476,-0.8292946257330959,251.96988923636547,2.556874087546137,0.14956745689815232,-3.1437538424923948,-1.1331524047365251,97265.31723014978,275089.7754264837,9.90176501282713,1.9985108109527954,0.8191348166214006,-0.8162831536292973,11.182176179567723,-2.108670528071178,True
0.1,-192.50443366202393,0.04660644797028257,-1883.6061704453082,-0.2605285077788512,1.9696264058757798,1.1190529669018754,-0.5990119777575538,249.5840594767627,2.519755138326253,0.07779559341929483,-3.209099972868588,-0.5647303936758187,97203.85850111199,272123.0424207252,10.019837467927097,1.9779502406692586,1.090654472125054,-0.7727724354715676,10.509945018762519,-2.0293015949351436,True
0.11,-68.15808305578483,-0.2683509665843191,-1889.264855880743,-0.18606720534318638,2.050296049414053,0.5656589713363147,-1.5451080083404132,257.27044268782436,2.516649459961318,0.2541593143584598,-2.5361570923518015,-1.474047947809059,99612.15717251485,281017.1414973704,9.93204408097257,1.9415981236737057,0.9245637991069238,-1.0751174266151835,10.56390953050213,-2.152824504749729,True
0.12,-27.19722529467801,2.935822075585116,-1881.1160053028354,-0.26464054346784377,2.0674864639027577,0.8305516453078037,-0.8912856820521591,233.64082148268574,2.570486919891592,0.30882061896155166,-2.916130791187241,-1.0515700691343919,93391.65194053459,261509.83186252398,9.500740525437655,1.999880219479382,0.9203558203953613,-1.002854410047435,11.623950415667327,-1.9956327894256,True
0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
0.14,89.51985036451865,0.9105623344074167,-1875.0728218322724,-0.352586410895478,1.9967688151005316,1.682279112206983,-1.7221038263922732,250.29097121584178,2.5682092676133044,0.304590526514574,-2.5542676657277994,-1.1728346381172585,95737.12147144109,275660.4283509713,9.796153560751822,1.9678583768256972,1.6911837031600572,-1.4819274033266667,12.02197595016575,-2.3020718765321138,True
0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
