,Time,Position_N,Position_E,Position_D,Flight path angle,Heading angle,Total angle of attack,Bank angle,Ground speed,Lateral acceleration (command),Lateral acceleration (response),Bank angle (command),Bank angle (response),Drag force,Thrust force,Gravitational acceleration,Yaw,Pitch,Roll,Elevation,Azimuth,check
0,0.0,-44.84435778410848,-0.9612825649794304,-1899.446294085632,-0.016441373994222443,1.9498932205340727,-0.08939335521543981,0.06909852823294116,248.23666677578947,2.507389057879986,0.0738926349516048,-3.410636973301729,-0.3272668099007834,94398.21180294649,308529.3994678457,9.79130575596113,1.9304475072390017,-0.06670902592557477,-0.45470697917919267,10.529926072161514,-1.9323257672669343,True
1,0.01,-54.98287913507032,0.2758953137098624,-1803.7913825683459,-0.055755495160507096,2.0308731419299084,0.33344021676507785,-0.18702397843657434,250.7912078040133,2.608571232323122,-0.04882151094570688,-3.3223179419903754,-0.5328844469532884,100288.50844046603,287357.1191607885,9.859184302316073,1.9776031144360264,-0.16115899368052367,0.3228272050641962,11.540232717369783,-2.092728171149436,True
2,0.02,176.4457637427892,0.3530399958942337,-1922.9823122149955,0.17531675255333667,2.0009092116833416,-0.22970308063543105,-0.5346216202753222,244.2973132614727,2.538081372935106,-0.0022408071582051704,-2.4720228573204976,0.021075047458261026,91768.87467237747,290034.2992200887,9.861093374986586,1.9974789121501604,0.28857892585986344,0.22254864099065408,11.0979997619643,-2.040099651721285,True
3,0.03,-113.93669836264067,-0.20114163863554924,-1888.547132029399,0.11491433876157588,1.9714678993523012,0.07063620646144744,-0.05541153078263242,246.38428481540024,2.491749287924517,0.051331334917665936,-2.7855159021513978,-0.036763453160534226,99525.8283442844,294197.62269338197,9.956287535442073,2.0244051363362723,-0.24617118565241072,-0.6208392121271592,10.898844653274091,-2.110890398689508,True
4,0.04,147.80532246437025,1.2757508085422027,-1903.0627931520676,0.09494199969133583,2.0709173746603535,0.4068877940581398,-0.300709147632494,240.57366629870185,2.591907712021164,0.012585356270793848,-2.812279833723247,0.07281214341620432,95089.62478201835,269917.20270425756,9.662558890805764,1.9718060121626626,-0.18844513225614745,0.0866748437501712,10.800690890431534,-2.171839095119269,True
5,0.05,53.99038596626532,0.0176857439871847,-1953.141703166587,-0.2716856237426448,1.9407245297271893,0.24044360849497232,-0.1767894458840394,248.83986945283465,2.5301873024198605,0.1303539224755724,-3.0443883652763004,-0.5523402920080198,90744.47927031135,287280.3334643224,9.929595969423147,1.983953793954701,-0.3976155466230248,-0.35380089513364765,11.551164421808505,-2.196667657515137,True
6,0.06,47.852673960879855,-0.8678457190321408,-1887.2095350258528,-0.06001673996619983,1.9999336345149208,0.15645011658908797,-0.9056374774691136,251.1501878224512,2.5164490587144215,0.06013442418480795,-3.007585369114555,-0.4982588712709895,96328.80717822988,273924.7596851891,9.673944283059686,1.9335990994765078,-0.23100906816222014,-0.48473566955548136,10.19252064100509,-1.8552943407572613,True
7,0.07,89.52937496174788,1.4821297582609927,-1882.6482793903158,-0.04167454562060083,1.9297371950349922,0.5649421072310902,-0.6458353112858415,252.7294924059583,2.522917808392512,0.08047823516842333,-2.8150850083204286,-0.5779306186702171,96863.82996926486,280629.9985906041,9.773401528869856,2.0631908184501655,0.6458719232236447,-0.09108305533611016,11.480011858586584,-2.029108121346406,True
8,0.08,-5.708231210117429,0.9724729656527886,-1943.7733997425441,-0.39841996418988457,2.01455622297075,0.1947255121297884,-0.3351406204981639,250.60655501171018,2.5285275522225468,0.07729304062334016,-2.790006419201919,-0.6627328542751606,93400.36994816088,277605.0106739837,9.569242576257011,2.019534707730339,0.5947213082996362,-1.0480606317568821,10.960081614582785,-2.1971374775691923,True
9,0.09,10.996713684436441,0.059852486651523984,-1884.623439874333,-0.1983241640620339,2.053187570572576,0.31990081170134577,-0.47075030658246503,253.23649999259393,2.5299061699398537,0.17954588743199668,-2.5707926780524755,-0.9087977633721215,95360.49668756976,280482.66035495204,9.85347222031609,2.038798496204469,0.8360084247751187,-0.2464938052438791,12.336718673989647,-1.9574607892959501,True
